Company,Ticker_YFinance,Sector_ICB,Country
ASML HOLDING,ASML.AS,Technology,Netherlands
SHELL PLC,SHELL.AS,Energy,Netherlands
SCHNEIDER ELECTRIC,SU.PA,Industrials,France
TOTALENERGIES,TTE.PA,Energy,France
AIRBUS,AIR.PA,Industrials,France
SANOFI,SAN.PA,Health Care,France
ESSILORLUXOTTICA,EL.PA,Health Care,France
PROSUS,PRX.AS,Technology,Netherlands
AIR LIQUIDE,AI.PA,Basic Materials,France
SAFRAN,SAF.PA,Industrials,France
FERRARI,RACE.MI,Consumer Discretionary,Italy
AXA,CS.PA,Financials,France
ENEL,ENEL.MI,Utilities,Italy
INTESA SANPAOLO,ISP.MI,Financials,Italy
BNP PARIBAS ACT.A,BNP.PA,Financials,France
EQUINOR,EQNR.OL,Energy,Norway
UNICREDIT,UCG.MI,Financials,Italy
VINCI,DG.PA,Industrials,France
ING GROEP N.V.,INGA.AS,Financials,Netherlands
ADYEN,ADYEN.AS,Industrials,Netherlands
DASSAULT SYSTEMES,DSY.PA,Technology,France
DANONE,BN.PA,Consumer Staples,France
ENI,ENI.MI,Energy,Italy
GENERALI,G.MI,Financials,Italy
SAINT GOBAIN,SGO.PA,Industrials,France
CREDIT AGRICOLE,ACA.PA,Financials,France
HEINEKEN,HEIA.AS,Consumer Staples,Netherlands
WOLTERS KLUWER,WKL.AS,Consumer Discretionary,Netherlands
UCB,UCB.BR,Health Care,Belgium
ENGIE,ENGI.PA,Utilities,France
STELLANTIS,STLAM.MI,Consumer Discretionary,Italy
ARGENX SE,ARGX.BR,Health Care,Belgium
KBC,KBC.BR,Financials,Belgium
KERING,KER.PA,Consumer Discretionary,France
AHOLD DEL,AD.AS,Consumer Staples,Netherlands
DNB BANK,DNB.OL,Financials,Norway
THALES,HO.PA,Industrials,France
ASM INTERNATIONAL,ASM.AS,Technology,Netherlands
PERNOD RICARD,RI.PA,Consumer Staples,France
CAPGEMINI,CAP.PA,Technology,France
PUBLICIS GROUPE SA,PUB.PA,Consumer Discretionary,France
DSM FIRMENICH AG,DSFIR.AS,Consumer Staples,Netherlands
ORANGE,ORA.PA,Telecommunications,France
LEGRAND,LR.PA,Industrials,France
PHILIPS KON,PHIA.AS,Health Care,Netherlands
MICHELIN,ML.PA,Consumer Discretionary,France
STMICROELECTRONICS,STMPA.PA,Technology,France
SOCIETE GENERALE,GLE.PA,Financials,France
TENARIS,TEN.MI,Energy,Italy
RYANAIR HOLD. PLC,RYA.IR,Consumer Discretionary,Ireland
VEOLIA ENVIRON.,VIE.PA,Utilities,France
KONGSBERG GRUPPEN,KOG.OL,Industrials,Norway
ARCELORMITTAL SA,MT.AS,Basic Materials,Netherlands
SARTORIUS STED BIO,DIM.PA,Health Care,France
PRYSMIAN,PRY.MI,Industrials,Italy
POSTE ITALIANE,PST.MI,Financials,Italy
KERRY GROUP PLC,KRZ.IR,Consumer Staples,Ireland
TERNA,TRN.MI,Utilities,Italy
LEONARDO,LDO.MI,Industrials,Italy
TELENOR,TEL.OL,Telecommunications,Norway
SNAM,SRG.MI,Energy,Italy
MONCLER,MONC.MI,Consumer Discretionary,Italy
RENAULT,RNO.PA,Consumer Discretionary,France
KPN KON,KPN.AS,Telecommunications,Netherlands
BUREAU VERITAS,BVI.PA,Industrials,France
EDP,EDP.LS,Utilities,Portugal
KINGSPAN GROUP PLC,KRX.IR,Industrials,Ireland
AIB GROUP PLC,A5G.IR,Financials,Ireland
BIOMERIEUX,BIM.PA,Health Care,France
AKER BP,AKRBP.OL,Energy,Norway
SODEXO,SW.PA,Consumer Discretionary,France
MEDIOBANCA,MB.MI,Financials,Italy
"J.MARTINS,SGPS",JMT.LS,Consumer Staples,Portugal
ACCOR,AC.PA,Consumer Discretionary,France
NN GROUP,NN.AS,Financials,Netherlands
EURONEXT,ENX.PA,Financials,France
GALP ENERGIA-NOM,GALP.LS,Energy,Portugal
ADP,ADP.PA,Industrials,France
BOUYGUES,EN.PA,Industrials,France
BE SEMICONDUCTOR,BESI.AS,Technology,Netherlands
NORSK HYDRO,NHY.OL,Basic Materials,Norway
RECORDATI ORD,REC.MI,Health Care,Italy
EDP RENOVAVEIS,EDPR.LS,Utilities,Portugal
UNIBAIL-RODAMCO-WE,URW.PA,Real Estate,France
FINECOBANK,FBK.MI,Financials,Italy
AKZO NOBEL,AKZA.AS,Basic Materials,Netherlands
ASR NEDERLAND,ASRNL.AS,Financials,Netherlands
EUROFINS SCIENT.,ERF.PA,Health Care,France
AEGON,AGN.AS,Financials,Netherlands
CARREFOUR,CA.PA,Consumer Staples,France
IPSEN,IPN.PA,Health Care,France
INWIT,INW.MI,Telecommunications,Italy
GBL,GBLB.BR,Financials,Belgium
BANK OF IRELAND GP,BIRG.IR,Financials,Ireland
D'IETEREN GROUP,DIE.BR,Consumer Discretionary,Belgium
MOWI,MOWI.OL,Consumer Staples,Norway
EIFFAGE,FGR.PA,Industrials,France
EDENRED,EDEN.PA,Industrials,France
CAMPARI,CPR.MI,Consumer Staples,Italy
VIVENDI SE,VIV.PA,Consumer Discretionary,France
HAVAS,HAVAS.AS,Consumer Discretionary,Netherlands
